rhos_412,rhos_469,rhos_555,rhos_645,rhos_859,rhos_1240,rhos_2130,rhot_412,rhot_469,rhot_555,rhot_645,rhot_859,rhot_1240,rhot_2130,label
0.03546137,0.030115323,0.047647916,0.032489076,0.266283065,0.237732902,0.044891953,0.131128326,0.090133362,0.071032777,0.045828898,0.267528892,0.238156319,0.045013022,sargasso
0.033087283,0.027616726,0.043800153,0.028277023,0.302192718,0.274839193,0.041919544,0.129347473,0.088069625,0.067733824,0.042015545,0.303039938,0.275176257,0.042041905,sargasso
0.033087283,0.027616726,0.043800153,0.028277023,0.302192718,0.274839193,0.041919544,0.129347473,0.088069625,0.067733824,0.042015545,0.303039938,0.275176257,0.042041905,sargasso
0.034043234,0.0290877,0.046634696,0.029876634,0.299373358,0.271026492,0.038534205,0.130039424,0.089263514,0.07015036,0.043459501,0.300249755,0.271371812,0.03865812,sargasso
0.039173681,0.034789786,0.054059569,0.037876662,0.27287817,0.256998718,0.043260887,0.133804664,0.09392079,0.076494388,0.050691389,0.274044752,0.257375658,0.043382648,sargasso
0.067244656,0.064640447,0.081232727,0.05865724,0.248152882,0.207372054,0.045366343,0.154490218,0.118389517,0.099766046,0.069498353,0.24961032,0.207872286,0.045487184,sargasso
0.108000129,0.108248822,0.119685821,0.106540196,0.222374439,0.160856783,0.071233727,0.184935227,0.154501721,0.132863224,0.112962537,0.224154562,0.161488414,0.071343064,sargasso
0.043707691,0.0396161,0.060488757,0.042129945,0.247674406,0.214254647,0.049036313,0.137180924,0.097897381,0.082003362,0.054545302,0.249137238,0.214736775,0.049155537,sargasso
0.061892163,0.063649371,0.090984799,0.068931609,0.167641997,0.167280093,0.03980539,0.150575921,0.117603861,0.108148746,0.078813717,0.170176506,0.167892948,0.039928839,sargasso
0.077463657,0.081146993,0.1026811,0.083847903,0.083649181,0.083287805,0.04670272,0.162119865,0.132033601,0.118209258,0.092345007,0.087518528,0.084173299,0.046823021,sargasso
0.074244767,0.077250384,0.099620067,0.079768874,0.115588844,0.092743404,0.045010325,0.15972808,0.12881425,0.1155743,0.088642843,0.118925117,0.093595691,0.045131397,sargasso
0.055960223,0.054964911,0.078749418,0.06207991,0.186862573,0.13226822,0.047817886,0.146187723,0.110463485,0.097637855,0.072600938,0.18912001,0.132988364,0.047937673,sargasso
0.047346249,0.043864328,0.066120416,0.050700981,0.224759504,0.1533764,0.043475322,0.139862314,0.10137862,0.08682128,0.062299654,0.226506889,0.154030621,0.043597106,sargasso
0.048086129,0.045439459,0.069327027,0.061964899,0.181699827,0.150821269,0.032970175,0.140395194,0.102660164,0.089563057,0.072496302,0.184029654,0.151483193,0.033096783,sargasso
